OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
1,0,30082,E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420,True,False,False,False,False,False,False,False,True,False,"(41.85182, -87.745336)",41.851819999999996,-87.745335999999995,Cicero-Cermak,40420,368061,195413,0.469074419729338,172648
2,1,30151,E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780,True,False,False,False,False,False,False,False,True,False,"(41.853839, -87.714842)",41.853839000000001,-87.714842000000004,Central Park,40780,343146,165239,0.518458615283291,177907
3,2,30184,W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940,True,False,False,True,False,False,False,False,False,False,"(41.778943, -87.644244)",41.778942999999998,-87.644244000000000,Halsted/63rd,40940,159214,77657,0.512247666662479,81557
4,3,30044,N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230,True,False,True,False,False,False,False,False,False,False,"(41.984246, -87.838028)",41.984245999999999,-87.838027999999994,Cumberland,40230,1239810,401506,0.676155217331688,838304
5,4,30092,E,Racine (O'Hare-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",41.875920000000001,-87.659458000000001,Racine,40470,622690,196114,0.685053557950184,426576
6,5,30253,N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",41.943623000000002,-87.670907000000000,Paulina,41310,849667,272270,0.679556814610900,577397
7,6,30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)",41.857908000000002,-87.669146999999995,18th,40830,550089,225878,0.589379173188339,324211
8,7,30374,S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,True,False,True,False,False,False,False,False,False,False,"(41.885737, -87.630886)",41.885736999999999,-87.630886000000004,Clark/Lake,40380,5830767,1648674,0.717245775727276,4182093
9,8,30248,S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),41280,True,False,True,False,False,False,False,False,False,False,"(41.970634, -87.760892)",41.970633999999997,-87.760891999999998,Jefferson Park,41280,1896402,826774,0.564030200347817,1069628
10,9,30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),40530,True,False,False,False,True,False,True,False,False,False,"(41.932732, -87.653131)",41.932732000000001,-87.653131000000002,Diversey,40530,1651007,525219,0.681879604386898,1125788
11,10,30287,N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"(41.961756, -87.675047)",41.961756000000001,-87.675047000000006,Montrose-Brown,41500,793566,255709,0.677772233185393,537857
12,11,30068,E,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350,True,False,True,False,False,False,False,False,False,False,"(41.875474, -87.649707)",41.875473999999997,-87.649707000000006,UIC-Halsted,40350,1729039,524093,0.696887693105824,1204946
13,12,30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,True,False,False,True,False,False,False,False,False,False,"(41.831677, -87.625826)",41.831676999999999,-87.625826000000004,35-Bronzeville-IIT,41120,480679,185990,0.613068180636142,294689
14,13,30102,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520,False,False,False,False,False,True,True,False,False,False,"(42.05416, -87.68356)",42.054160000000003,-87.683560000000000,Foster,40520,252742,79320,0.686162173283427,173422
15,14,30008,S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,True,False,False,False,True,False,False,False,False,False,"(41.878723, -87.63374)",41.878723000000001,-87.633740000000003,Quincy/Wells,40040,2188354,595970,0.727662891835599,1592384
16,15,30070,N,Southport (Kimball-bound),Southport,Southport (Brown Line),40360,True,False,False,False,True,False,False,False,False,False,"(41.943744, -87.663619)",41.943744000000002,-87.663618999999997,Southport,40360,1084936,305940,0.718011016318013,778996
17,16,30252,S,Loyola (95th-bound),Loyola,Loyola (Red Line),41300,True,True,False,False,False,False,False,False,False,False,"(42.001073, -87.661061)",42.001072999999998,-87.661061000000004,Loyola,41300,1663404,611755,0.632227047668516,1051649
18,17,30237,N,47th (Howard-bound),47th,47th (Red Line),41230,True,True,False,False,False,False,False,False,False,False,"(41.810318, -87.63094)",41.810318000000002,-87.630939999999995,47th-Dan Ryan,41230,869861,403043,0.536658155728329,466818
